CORating,state,nextJobTwo,title,WLBRating,SLRating,id,CaVRating,company,city,nextJobOne,CaBRating,numJobs,jobId
3.5,CA,,Design Engineer,3.6,2.9,69,3.6,Intel,Santa Clara,,3.9,4,60763
3.5,CA,,Performance Analysis Engineer,3.6,2.9,70,3.6,Intel,Santa Clara,,3.9,4,91841
3.5,CA,,Software Engineer - Machine Learning,3.6,2.9,71,3.6,Intel,Santa Clara,,3.9,4,593642
3.5,AZ,consultant,Systems Analyst,3.6,2.9,72,3.6,Intel,Phoenix,software engineer,3.9,12,26279
3.5,AZ,,Software Engineer,3.6,2.9,73,3.6,Intel,Phoenix,,3.9,8,4279
3.5,AZ,,Software/Firmware Development and Test Engineer,3.6,2.9,74,3.6,Intel,Phoenix,,3.9,8,114016
3.5,AZ,enterprise storage engineer intern,Manufacturing Intern,3.6,2.9,75,3.6,Intel,Phoenix,investor relations intern,3.9,7,57410
3.5,AZ,project engineer,Engineering Technician,3.6,2.9,76,3.6,Intel,Phoenix,field service engineer,3.9,7,31458
3.5,AZ,project manager,Software Engineer Intern,3.6,2.9,77,3.6,Intel,Phoenix,programmer intern,3.9,6,4520
3.5,AZ,,Technology Development Engineer,3.6,2.9,78,3.6,Intel,Phoenix,,3.9,6,21062
3.5,AZ,software engineer,Automation Engineer,3.6,2.9,79,3.6,Intel,Phoenix,software developer,3.9,6,18651
3.5,AZ,,Supply Line Management,3.6,2.9,80,3.6,Intel,Phoenix,,3.9,6,1412454
3.5,AZ,software engineer,Engineering Intern,3.6,2.9,81,3.6,Intel,Phoenix,undergraduate researcher,3.9,6,49655
3.5,AZ,,Supply Chain Analyst Intern,3.6,2.9,82,3.6,Intel,Phoenix,,3.9,6,133337
3.5,AZ,,Product Safety Regulatory Engineer,3.6,2.9,83,3.6,Intel,Phoenix,,3.9,5,259366
3.5,AZ,lab technician,Manufacturing Technician,3.6,2.9,84,3.6,Intel,Phoenix,machine operator,3.9,5,57457
3.5,AZ,,Enterprise Architect,3.6,2.9,85,3.6,Intel,Phoenix,director,3.9,5,49344
3.5,AZ,,Automation Tech,3.6,2.9,86,3.6,Intel,Phoenix,,3.9,5,123154
3.5,AZ,corporate recruiter,Contract Recruiter,3.6,2.9,87,3.6,Intel,Phoenix,contract it recruiter,3.9,5,1070
3.5,AZ,,Process TD Engineer,3.6,2.9,88,3.6,Intel,Phoenix,,3.9,5,118402
3.5,AZ,,Packaging R&amp;D Intern,3.6,2.9,89,3.6,Intel,Phoenix,,3.9,4,610965
3.5,AZ,,Field Applications Engineer,3.6,2.9,90,3.6,Intel,Phoenix,,3.9,4,32284
3.5,AZ,,Supply Chain Systems Analyst,3.6,2.9,91,3.6,Intel,Phoenix,,3.9,4,116738
3.5,AZ,,Social Networking and Digital Experience Technical Sales Specialist,3.6,2.9,92,3.6,Intel,Phoenix,,3.9,4,724993
3.5,AZ,contractor,Instructional Designer,3.6,2.9,93,3.6,Intel,Phoenix,instructional design consultant,3.9,4,29284
3.5,AZ,,Component Design Engineer Intern,3.6,2.9,94,3.6,Intel,Phoenix,,3.9,4,273769
3.5,AZ,,Factory Automation Engineer,3.6,2.9,95,3.6,Intel,Phoenix,,3.9,4,103643
3.5,AZ,manager,Product Development Engineer,3.6,2.9,96,3.6,Intel,Phoenix,senior engineer,3.9,4,37274
3.5,AZ,,Package Design Engineer,3.6,2.9,97,3.6,Intel,Phoenix,,3.9,4,73591
3.5,AZ,,Undergraduate Technical Intern,3.6,2.9,98,3.6,Intel,Phoenix,,3.9,4,15497
3.5,AZ,,Non-Technical Intern,3.6,2.9,99,3.6,Intel,Phoenix,,3.9,4,189942
3.5,AZ,,Performance Analysis Intern,3.6,2.9,100,3.6,Intel,Phoenix,,3.9,4,212965
3.5,AZ,database systems programmer,Applications Developer,3.6,2.9,101,3.6,Intel,Phoenix,senior systems analyst,3.9,4,23992
3.5,AZ,,Business Analyst/H R,3.6,2.9,102,3.6,Intel,Phoenix,,3.9,4,1407723
3.5,AZ,line cook,Dishwasher,3.6,2.9,103,3.6,Intel,Phoenix,crew member,3.9,4,35792
3.5,AZ,,Supply Chain Engineer,3.6,2.9,104,3.6,Intel,Phoenix,,3.9,4,26432
3.5,AZ,unix technical specialist,Professional Services Consultant,3.6,2.9,105,3.6,Intel,Phoenix,senior sales commissions analyst,3.9,3,37439
3.5,AZ,,Network Architect,3.6,2.9,106,3.6,Intel,Phoenix,,3.9,3,52451
3.5,AZ,,R&amp;D Packaging Engineer,3.6,2.9,107,3.6,Intel,Phoenix,,3.9,3,240668
3.5,AZ,,Systems Programmer,3.6,2.9,108,3.6,Intel,Phoenix,,3.9,3,64767
3.5,AZ,,Crew Member/Grill Cook,3.6,2.9,109,3.6,Intel,Phoenix,,3.9,3,264757
3.5,AZ,executive assistant,Administrative Assistant,3.6,2.9,110,3.6,Intel,Phoenix,executive administrative assistant,3.9,3,15954
3.5,AZ,account manager,Packaging Engineer,3.6,2.9,111,3.6,Intel,Phoenix,logistics specialist,3.9,3,47146
3.5,AZ,,Undergrad I T Intern,3.6,2.9,112,3.6,Intel,Phoenix,,3.9,3,14374
3.5,CA,manager,Product Development Engineer,3.6,2.9,113,3.6,Intel,Folsom,senior engineer,3.9,16,37274
3.5,CA,,Product Development Engineer Intern,3.6,2.9,114,3.6,Intel,Folsom,,3.9,15,37278
3.5,CA,,Systems Validation Engineer,3.6,2.9,115,3.6,Intel,Folsom,,3.9,15,20563
3.5,CA,,Firmware Engineer,3.6,2.9,116,3.6,Intel,Folsom,,3.9,11,27366
3.5,CA,senior engineer,Hardware Engineer,3.6,2.9,117,3.6,Intel,Folsom,fpga engineer,3.9,9,22383
3.5,CA,,Analog/Mixed Signal Design Engineer,3.6,2.9,118,3.6,Intel,Folsom,,3.9,9,123417
3.5,CA,,Supply Chain Intern,3.6,2.9,119,3.6,Intel,Folsom,,3.9,8,26440
3.5,CA,,Solutions Engineer Intern,3.6,2.9,120,3.6,Intel,Folsom,,3.9,7,678461
3.5,CA,project manager,Software Engineer Intern,3.6,2.9,121,3.6,Intel,Folsom,programmer intern,3.9,7,4520
3.5,CA,,Graphics Hardware Engineer,3.6,2.9,122,3.6,Intel,Folsom,,3.9,7,266113
3.5,CA,,Graphics Software Engineer,3.6,2.9,123,3.6,Intel,Folsom,,3.9,7,21703
3.5,CA,,ASIC/Soc Architect and Ssd Design Engineer,3.6,2.9,124,3.6,Intel,Folsom,,3.9,6,174806
3.5,CA,product development engineer,Circuit Design Engineer,3.6,2.9,125,3.6,Intel,Folsom,corporate circuit design engineer,3.9,6,5957
3.5,CA,senior database developer,Software Development Engineer,3.6,2.9,126,3.6,Intel,Folsom,lead engineer,3.9,6,30327
3.5,CA,,Sales Operation Analyst Intern,3.6,2.9,127,3.6,Intel,Folsom,,3.9,5,174327
3.5,CA,,Failure Analysis Engineer,3.6,2.9,128,3.6,Intel,Folsom,,3.9,5,32180
3.5,CA,,Software Engineer,3.6,2.9,129,3.6,Intel,Folsom,,3.9,5,4279
3.5,CA,,Mask Designer,3.6,2.9,130,3.6,Intel,Folsom,,3.9,5,57722
3.5,CA,,SAP Applications Developer,3.6,2.9,131,3.6,Intel,Folsom,,3.9,5,113272
3.5,CA,,Undergraduate Technical Intern,3.6,2.9,132,3.6,Intel,Folsom,,3.9,5,15497
3.5,CA,,Logic Design Intern,3.6,2.9,133,3.6,Intel,Folsom,,3.9,5,481554
3.5,CA,,ASIC Design Intern,3.6,2.9,134,3.6,Intel,Folsom,,3.9,5,127511
3.5,CA,,Firmware Validation Engineer,3.6,2.9,135,3.6,Intel,Folsom,,3.9,5,228156
3.5,CA,senior design engineer,Physical Design Engineer,3.6,2.9,136,3.6,Intel,Folsom,cad engineer,3.9,5,2497
3.5,CA,,Firmware Engineer Intern,3.6,2.9,137,3.6,Intel,Folsom,,3.9,5,371973
3.5,CA,,Systems Engineer Intern,3.6,2.9,138,3.6,Intel,Folsom,,3.9,5,26577
3.5,CA,,Pre-Silicon Validation Engineering,3.6,2.9,139,3.6,Intel,Folsom,,3.9,5,457785
3.5,CA,,Technical Project Analyst,3.6,2.9,140,3.6,Intel,Folsom,,3.9,5,243268
3.5,CA,,Electrical Validation Engineer,3.6,2.9,141,3.6,Intel,Folsom,,3.9,5,352354
3.5,CA,,Analog Design Engineer,3.6,2.9,142,3.6,Intel,Folsom,,3.9,5,24103
3.5,CA,field application engineer,ASIC Design Engineer,3.6,2.9,143,3.6,Intel,Folsom,product manager,3.9,4,24148
3.5,CA,,Supply Chain Analyst,3.6,2.9,144,3.6,Intel,Folsom,director,3.9,4,26415
3.5,CA,,Software Engineer Intern - Graduate,3.6,2.9,145,3.6,Intel,Folsom,,3.9,4,602561
3.5,CA,,Software Developer,3.6,2.9,146,3.6,Intel,Folsom,senior software engineer,3.9,4,30270
3.5,CA,,Ssd Firmware Engineer Test Development,3.6,2.9,147,3.6,Intel,Folsom,,3.9,4,572512
3.5,CA,,Customer Business Analyst,3.6,2.9,148,3.6,Intel,Folsom,,3.9,4,59665
3.5,CA,,Analog Circuit Design Engineer,3.6,2.9,149,3.6,Intel,Folsom,,3.9,4,75364
3.5,CA,software engineer,Engineering Intern,3.6,2.9,150,3.6,Intel,Folsom,undergraduate researcher,3.9,4,49655
3.5,CA,,Data Center Intern,3.6,2.9,151,3.6,Intel,Folsom,,3.9,4,468670
3.5,CA,release software engineer,Software Quality Engineer,3.6,2.9,152,3.6,Intel,Folsom,software engineer,3.9,2,30637
3.5,CA,,Audit Specialist,3.6,2.9,153,3.6,Intel,Folsom,,3.9,1,3438
3.5,CA,,Hardware Engineer Intern,3.6,2.9,154,3.6,Intel,Folsom,,3.9,1,22390
3.5,CA,,Quality/Reliability Engineer,3.6,2.9,155,3.6,Intel,Folsom,,3.9,1,32429
3.5,CA,product manager,Applications Engineer,3.6,2.9,156,3.6,Intel,San Jose,senior software engineer,3.9,14,8954
3.5,CA,,Research Scientist,3.6,2.9,157,3.6,Intel,San Jose,senior scientist,3.9,14,33271
3.5,CA,,Compiler Developer,3.6,2.9,158,3.6,Intel,San Jose,,3.9,11,507226
3.5,CA,,Software Engineer,3.6,2.9,159,3.6,Intel,San Jose,,3.9,11,4279
3.5,CA,,Hardware Engineer Intern,3.6,2.9,160,3.6,Intel,San Jose,,3.9,9,22390
3.5,CA,,Field Applications Engineer,3.6,2.9,161,3.6,Intel,San Jose,,3.9,9,32284
3.5,CA,systems engineer,Digital Design Engineer,3.6,2.9,162,3.6,Intel,San Jose,rtl verification engineer,3.9,9,41536
3.5,CA,senior software engineer,Component Design Engineer,3.6,2.9,163,3.6,Intel,San Jose,analog engineer,3.9,8,51362
3.5,CA,senior developer,Development Engineer,3.6,2.9,164,3.6,Intel,San Jose,senior design engineer,3.9,8,55055
3.5,CA,project manager,Software Engineer Intern,3.6,2.9,165,3.6,Intel,San Jose,programmer intern,3.9,7,4520
3.5,CA,,Device Engineer,3.6,2.9,166,3.6,Intel,San Jose,,3.9,7,40489
3.5,CA,,Systems Validation Engineer,3.6,2.9,167,3.6,Intel,San Jose,,3.9,7,20563
3.5,CA,senior field engineer,Test Development Engineer,3.6,2.9,168,3.6,Intel,San Jose,systems engineer,3.9,7,58971
3.5,CA,,Optical Engineering Intern,3.6,2.9,169,3.6,Intel,San Jose,,3.9,6,680182
3.5,CA,,Software Engineer (MTS),3.6,2.9,170,3.6,Intel,San Jose,,3.9,6,126386
3.5,CA,,Graphics Software Engineer,3.6,2.9,171,3.6,Intel,San Jose,,3.9,6,21703
3.5,CA,,Design Verification,3.6,2.9,172,3.6,Intel,San Jose,,3.9,6,40361
3.5,CA,,Design Verification Engineer,3.6,2.9,173,3.6,Intel,San Jose,,3.9,6,40362
3.5,CA,senior database developer,Software Development Engineer,3.6,2.9,174,3.6,Intel,San Jose,lead engineer,3.9,6,30327
3.5,CA,,DFT Engineer,3.6,2.9,175,3.6,Intel,San Jose,,3.9,5,40583
3.5,CA,software engineer,Data Scientist,3.6,2.9,176,3.6,Intel,San Jose,developer,3.9,5,119899
3.5,CA,senior software engineer,Software Intern,3.6,2.9,177,3.6,Intel,San Jose,project details,3.9,5,30577
3.5,CA,,Vision Systems Engineer,3.6,2.9,178,3.6,Intel,San Jose,,3.9,5,413928
3.5,CA,executive assistant,Project Coordinator,3.6,2.9,179,3.6,Intel,San Jose,executive administrative assistant,3.9,5,55558
3.5,CA,,Photonic Design Engineer,3.6,2.9,180,3.6,Intel,San Jose,,3.9,5,92050
3.5,CA,senior design engineer,Physical Design Engineer,3.6,2.9,181,3.6,Intel,San Jose,cad engineer,3.9,5,2497
3.5,CA,,Software Architect,3.6,2.9,182,3.6,Intel,San Jose,director,3.9,5,4780
3.5,CA,,Pre-Si Validation Verification Engineer,3.6,2.9,183,3.6,Intel,San Jose,,3.9,4,873289
3.5,CA,staff engineer,FPGA Engineer,3.6,2.9,184,3.6,Intel,San Jose,hardware engineer,3.9,4,27257
3.5,CA,,Cloud Solutions Architect,3.6,2.9,185,3.6,Intel,San Jose,,3.9,4,161241
3.5,CA,director,Product Marketing Engineer,3.6,2.9,186,3.6,Intel,San Jose,technical marketing engineer,3.9,4,61622
3.5,CA,,Design Engineer,3.6,2.9,187,3.6,Intel,San Jose,,3.9,4,60763
3.5,CA,,Performance Analysis Engineer,3.6,2.9,188,3.6,Intel,San Jose,,3.9,4,91841
3.5,CA,,Software Engineer - Machine Learning,3.6,2.9,189,3.6,Intel,San Jose,,3.9,4,593642
3.5,TX,senior engineer,Hardware Engineer,3.6,2.9,190,3.6,Intel,Austin,fpga engineer,3.9,7,22383
3.5,TX,,Field Applications Engineer,3.6,2.9,191,3.6,Intel,Austin,,3.9,6,32284
3.5,TX,field application engineer,ASIC Design Engineer,3.6,2.9,192,3.6,Intel,Austin,product manager,3.9,6,24148
3.5,TX,,Firmware Validation Engineer,3.6,2.9,193,3.6,Intel,Austin,,3.9,4,228156
3.5,TX,,Firmware Engineer,3.6,2.9,194,3.6,Intel,Austin,,3.9,4,27366
3.5,TX,,Soc Design Verification Engineer,3.6,2.9,195,3.6,Intel,Austin,,3.9,4,113673
3.5,TX,,Soc Physical Design Engineer,3.6,2.9,196,3.6,Intel,Austin,,3.9,4,97848
3.5,TX,,Linux Development Engineer,3.6,2.9,197,3.6,Intel,Austin,,3.9,4,105620
3.5,TX,,IP Logic Design Engineer,3.6,2.9,198,3.6,Intel,Austin,,3.9,3,674525
3.5,TX,,Full Time Cook,3.6,2.9,199,3.6,Intel,Austin,,3.9,3,574533
3.5,TX,manager,Product Development Engineer,3.6,2.9,200,3.6,Intel,Austin,senior engineer,3.9,3,37274
3.5,TX,senior software engineer,Software Intern,3.6,2.9,201,3.6,Intel,Austin,project details,3.9,3,30577
3.5,TX,,Systems Validation Engineer,3.6,2.9,202,3.6,Intel,Austin,,3.9,3,20563
3.5,TX,,Electrical Validation Engineer,3.6,2.9,203,3.6,Intel,Austin,,3.9,3,352354
3.5,TX,,Script Engineer,3.6,2.9,204,3.6,Intel,Austin,,3.9,2,698649
3.5,TX,,ASIC Physical Design,3.6,2.9,205,3.6,Intel,Austin,,3.9,1,24158
3.5,TX,senior design engineer,Physical Design Engineer,3.6,2.9,206,3.6,Intel,Austin,cad engineer,3.9,1,2497
3.5,TX,,BIOS Engineer,3.6,2.9,207,3.6,Intel,Austin,,3.9,1,11817
3.5,TX,lead software engineer,Embedded Software Engineer,3.6,2.9,208,3.6,Intel,Austin,senior software engineer,3.9,1,36758
3.5,DC,hr generalist,Recruiting Coordinator,3.6,2.9,209,3.6,Intel,Washington,hr specialist,3.9,13,32701
3.5,DC,,Business Intelligence Analyst/Developer,3.6,2.9,210,3.6,Intel,Washington,,3.9,7,80915
3.5,DC,,Intel Analyst,3.6,2.9,211,3.6,Intel,Washington,,3.9,7,9832
3.5,DC,,Network Engineer,3.6,2.9,212,3.6,Intel,Washington,it manager,3.9,7,52481
3.5,DC,purchasing manager,Subcontract Administrator,3.6,2.9,213,3.6,Intel,Washington,senior buyer,3.9,6,25833
3.5,DC,,Sales Engineer,3.6,2.9,214,3.6,Intel,Washington,,3.9,5,28437
3.5,DC,senior recruiter,Technical Recruiter,3.6,2.9,215,3.6,Intel,Washington,contractor,3.9,5,58294
3.5,DC,,All Source Intel Analyst,3.6,2.9,216,3.6,Intel,Washington,,3.9,5,632008
3.5,DC,,Cyber Intel Analyst,3.6,2.9,217,3.6,Intel,Washington,,3.9,4,199465
3.5,DC,database systems programmer,Applications Developer,3.6,2.9,218,3.6,Intel,Washington,senior systems analyst,3.9,4,23992
3.5,DC,systems administrator,Database Specialist,3.6,2.9,219,3.6,Intel,Washington,business analyst,3.9,4,39964
3.5,DC,lead software engineer,Embedded Software Engineer,3.6,2.9,220,3.6,Intel,Washington,senior software engineer,3.9,4,36758
3.5,DC,account executive,Corporate Recruiter,3.6,2.9,221,3.6,Intel,Washington,executive assistant,3.9,3,794
3.5,DC,,Cyber Systems Engineer,3.6,2.9,222,3.6,Intel,Washington,,3.9,3,278951
3.5,DC,,Python Developer,3.6,2.9,223,3.6,Intel,Washington,,3.9,2,55458
3.5,DC,c4isenior new equipment tester,Imagery Analyst,3.6,2.9,224,3.6,Intel,Washington,systems analyst,3.9,2,16548
3.5,DC,,Sr Sales Engineer,3.6,2.9,225,3.6,Intel,Washington,,3.9,2,714239
3.5,DC,,Systems Engineer,3.6,2.9,226,3.6,Intel,Washington,senior software engineer,3.9,2,26561
3.5,DC,,Junior Financial Accountant,3.6,2.9,227,3.6,Intel,Washington,,3.9,1,414712
3.5,DC,,Multimedia Digital Artist,3.6,2.9,228,3.6,Intel,Washington,,3.9,1,258923
3.5,DC,,Cyber Security Threat Intelligence Analyst,3.6,2.9,229,3.6,Intel,Washington,,3.9,1,736254
3.5,DC,,Information Security Intern,3.6,2.9,230,3.6,Intel,Washington,,3.9,1,245540
3.5,DC,,Cyber Analyst,3.6,2.9,231,3.6,Intel,Washington,,3.9,1,154009
3.5,DC,driver,Janitor,3.6,2.9,232,3.6,Intel,Washington,volunteer,3.9,1,3550
3.5,DC,,Arabic Linguist,3.6,2.9,233,3.6,Intel,Washington,project engineer,3.9,1,9067
3.5,DC,lead technician,Data Center Technician,3.6,2.9,234,3.6,Intel,Washington,pc technician,3.9,1,46139
3.5,DC,,Technical Specialist - Systems Engineer,3.6,2.9,235,3.6,Intel,Washington,,3.9,1,438426
3.5,DC,,Junior Security Analyst,3.6,2.9,236,3.6,Intel,Washington,,3.9,1,88763
3.5,DC,paralegal,Summer Law Clerk,3.6,2.9,237,3.6,Intel,Washington,certified legal intern,3.9,1,26141
3.5,DC,jcofa intelligence analyst,All Source Analyst,3.6,2.9,238,3.6,Intel,Washington,intelligence operations analyst,3.9,1,160712
3.5,DC,technical writer,Proposal Writer,3.6,2.9,239,3.6,Intel,Washington,independent consultant,3.9,1,55303
3.5,CA,product manager,Applications Engineer,3.6,2.9,240,3.6,Intel,Sunnyvale,senior software engineer,3.9,14,8954
3.5,CA,,Research Scientist,3.6,2.9,241,3.6,Intel,Sunnyvale,senior scientist,3.9,14,33271
3.5,CA,,Compiler Developer,3.6,2.9,242,3.6,Intel,Sunnyvale,,3.9,11,507226
3.5,CA,,Software Engineer,3.6,2.9,243,3.6,Intel,Sunnyvale,,3.9,11,4279
3.5,CA,,Hardware Engineer Intern,3.6,2.9,244,3.6,Intel,Sunnyvale,,3.9,9,22390
3.5,CA,,Field Applications Engineer,3.6,2.9,245,3.6,Intel,Sunnyvale,,3.9,9,32284
3.5,CA,systems engineer,Digital Design Engineer,3.6,2.9,246,3.6,Intel,Sunnyvale,rtl verification engineer,3.9,9,41536
3.5,CA,senior software engineer,Component Design Engineer,3.6,2.9,247,3.6,Intel,Sunnyvale,analog engineer,3.9,8,51362
3.5,CA,senior developer,Development Engineer,3.6,2.9,248,3.6,Intel,Sunnyvale,senior design engineer,3.9,8,55055
